Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long
1,Monumen Nasional,Monumen Nasional is a good place to visit,Budaya,Jakarta,20000,4.6,15,"{'lat': -6.1753924, 'lng': 106.8271528}",-6.1753924,106.8271528
2,Kota Tua,Kota Tua is a good place to visit,Budaya,Jakarta,0,4.6,90,"{'lat': -6.137644799999999, 'lng': 106.8171245}",-6.1376448,106.8171245
3,Dunia Fantasi,Dunia Fantasi is a good place to visit,Taman Hiburan,Jakarta,270000,4.6,360,"{'lat': -6.125312399999999, 'lng': 106.8335377}",-6.1253124,106.8335377
4,Taman Mini Indonesia Indah (TMII),Taman Mini Indonesia Indah (TMII) is a good place to visit,Taman Hiburan,Jakarta,10000,4.5,,"{'lat': -6.302445899999999, 'lng': 106.8951559}",-6.3024459,106.8951559
5,Atlantis Water Adventure,Atlantis Water Adventure is a good place to visit,Taman Hiburan,Jakarta,94000,4.5,60,"{'lat': -6.12419, 'lng': 106.839134}",-6.12419,106.839134
6,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol is a good place to visit,Taman Hiburan,Jakarta,25000,4.5,10,"{'lat': -6.117333200000001, 'lng': 106.8579951}",-6.1173332,106.8579951
7,Kebun Binatang Ragunan,Kebun Binatang Ragunan is a good place to visit,Cagar Alam,Jakarta,4000,4.5,,"{'lat': -6.3124593, 'lng': 106.8201865}",-6.3124593,106.8201865
8,Ocean Ecopark,Ocean Ecopark is a good place to visit,Taman Hiburan,Jakarta,180000,4,,"{'lat': -6.125801699999999, 'lng': 106.8363249}",-6.1258017,106.8363249
9,Pelabuhan Marina,Pelabuhan Marina is a good place to visit,Bahari,Jakarta,175000,4.4,,"{'lat': 1.07888, 'lng': 103.931398}",1.07888,103.931398
10,Pulau Tidung,Pulau Tidung is a good place to visit,Bahari,Jakarta,150000,4.5,,"{'lat': -5.803205300000001, 'lng': 106.5237907}",-5.8032053,106.5237907
11,Pulau Bidadari,Pulau Bidadari is a good place to visit,Bahari,Jakarta,5000,4.6,,"{'lat': -6.035832999999999, 'lng': 106.746944}",-6.035833,106.746944
12,Pulau Pari,Pulau Pari is a good place to visit,Bahari,Jakarta,150000,4,,"{'lat': -5.9074328, 'lng': 106.5863989}",-5.9074328,106.5863989
13,Pulau Pramuka,Pulau Pramuka is a good place to visit,Bahari,Jakarta,5000,4.2,,"{'lat': -5.745962, 'lng': 106.6136577}",-5.745962,106.6136577
14,Pulau Pelangi,Pulau Pelangi is a good place to visit,Bahari,Jakarta,900000,4.8,,"{'lat': -5.587055, 'lng': 106.5885}",-5.587055,106.5885
15,Pasar Seni,Pasar Seni is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4.4,90,"{'lat': -6.1766868, 'lng': 106.8417666}",-6.1766868,106.8417666
16,Jembatan Kota Intan,Jembatan Kota Intan is a good place to visit,Budaya,Jakarta,0,4.3,,"{'lat': -6.1314572, 'lng': 106.8106169}",-6.1314572,106.8106169
17,Museum Fatahillah,Museum Fatahillah is a good place to visit,Budaya,Jakarta,5000,4.4,,"{'lat': -6.136448899999999, 'lng': 106.8130661}",-6.1364489,106.8130661
18,Museum Bank Indonesia,Museum Bank Indonesia is a good place to visit,Budaya,Jakarta,2000,4.7,,"{'lat': -6.137127, 'lng': 106.813005}",-6.137127,106.813005
19,Kidzania,Kidzania is a good place to visit,Taman Hiburan,Jakarta,185000,4.6,300,"{'lat': -6.225073499999999, 'lng': 106.8097144}",-6.2250735,106.8097144
20,Museum Taman Prasasti,Museum Taman Prasasti is a good place to visit,Budaya,Jakarta,2000,4.5,90,"{'lat': -6.172224099999998, 'lng': 106.8189695}",-6.1722241,106.8189695
21,Museum Wayang,Museum Wayang is a good place to visit,Budaya,Jakarta,5000,4.5,150,"{'lat': -6.1349072, 'lng': 106.8124452}",-6.1349072,106.8124452
22,Masjid Istiqlal,Masjid Istiqlal is a good place to visit,Tempat Ibadah,Jakarta,0,4.7,,"{'lat': -6.17017, 'lng': 106.83139}",-6.17017,106.83139
23,Gereja Katedral,Gereja Katedral is a good place to visit,Tempat Ibadah,Jakarta,0,4.8,,"{'lat': -6.169225000000001, 'lng': 106.833063}",-6.169225,106.833063
24,Museum Nasional,Museum Nasional is a good place to visit,Budaya,Jakarta,5000,4.6,,"{'lat': -6.176402099999999, 'lng': 106.8215901}",-6.1764021,106.8215901
25,Pasar Tanah Abang,Pasar Tanah Abang is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4,45,"{'lat': -6.189009599999999, 'lng': 106.8119312}",-6.1890096,106.8119312
26,Pecinan Glodok,Pecinan Glodok is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4.3,20,"{'lat': -6.142758799999999, 'lng': 106.8140791}",-6.1427588,106.8140791
27,Sea World,Sea World is a good place to visit,Taman Hiburan,Jakarta,115000,4.5,180,"{'lat': -6.126477500000001, 'lng': 106.842963}",-6.1264775,106.842963
28,Wisata Agro Edukatif Istana Susu Cibugary,Wisata Agro Edukatif Istana Susu Cibugary is a good place to visit,Taman Hiburan,Jakarta,35000,4.5,,"{'lat': -6.3568093, 'lng': 106.9062371}",-6.3568093,106.9062371
29,Wisata Kuliner Pecenongan,Wisata Kuliner Pecenongan is a good place to visit,Pusat Perbelanjaan,Jakarta,0,5,,"{'lat': -6.166788700000001, 'lng': 106.8265261}",-6.1667887,106.8265261
30,Taman Menteng,Taman Menteng is a good place to visit,Taman Hiburan,Jakarta,0,4.5,,"{'lat': -6.1964087, 'lng': 106.8293106}",-6.1964087,106.8293106
31,Wisata Alam Mangrove Angke,Wisata Alam Mangrove Angke is a good place to visit,Cagar Alam,Jakarta,25000,4.3,,"{'lat': -6.105334, 'lng': 106.735584}",-6.105334,106.735584
32,Setu Babakan,Setu Babakan is a good place to visit,Budaya,Jakarta,0,4.4,,"{'lat': -6.341666699999999, 'lng': 106.8238889}",-6.3416667,106.8238889
33,Taman Suropati,Taman Suropati is a good place to visit,Taman Hiburan,Jakarta,0,4.6,,"{'lat': -6.1994034, 'lng': 106.8326228}",-6.1994034,106.8326228
34,Pasar Taman Puring,Pasar Taman Puring is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4.4,60,"{'lat': -6.241368999999999, 'lng': 106.7890587}",-6.241369,106.7890587
35,Grand Indonesia Mall,Grand Indonesia Mall is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4.7,120,"{'lat': -6.195180099999999, 'lng': 106.8204412}",-6.1951801,106.8204412
36,Skyrink - Mall Taman Anggrek,Skyrink - Mall Taman Anggrek is a good place to visit,Taman Hiburan,Jakarta,110000,4.5,180,"{'lat': -6.178996, 'lng': 106.791941}",-6.178996,106.791941
37,Bumi Perkemahan Cibubur,Bumi Perkemahan Cibubur is a good place to visit,Taman Hiburan,Jakarta,10000,4.5,,"{'lat': -6.360248700000001, 'lng': 106.893842}",-6.3602487,106.893842
38,Istana Negara Republik Indonesia,Istana Negara Republik Indonesia is a good place to visit,Budaya,Jakarta,0,4.6,,"{'lat': -6.168069000000001, 'lng': 106.8239727}",-6.168069,106.8239727
39,Museum Macan (Modern and Contemporary Art in Nusantara),Museum Macan (Modern and Contemporary Art in Nusantara) is a good place to visit,Budaya,Jakarta,100000,4.5,120,"{'lat': -6.190942, 'lng': 106.767622}",-6.190942,106.767622
40,Galeri Nasional Indonesia,Galeri Nasional Indonesia is a good place to visit,Budaya,Jakarta,0,4.6,,"{'lat': -6.178548200000001, 'lng': 106.8327716}",-6.1785482,106.8327716
41,Museum Bahari Jakarta,Museum Bahari Jakarta is a good place to visit,Budaya,Jakarta,2000,4.4,120,"{'lat': -6.1269553, 'lng': 106.8085899}",-6.1269553,106.8085899
42,Museum Seni Rupa dan Kramik,Museum Seni Rupa dan Kramik is a good place to visit,Budaya,Jakarta,5000,4.4,,"{'lat': -6.1342598, 'lng': 106.814552}",-6.1342598,106.814552
43,The Escape Hunt,The Escape Hunt is a good place to visit,Taman Hiburan,Jakarta,70000,4.4,120,"{'lat': -6.2555033, 'lng': 106.8122591}",-6.2555033,106.8122591
44,Monumen Selamat Datang,Monumen Selamat Datang is a good place to visit,Budaya,Jakarta,0,4.7,15,"{'lat': -6.194997799999999, 'lng': 106.8230496}",-6.1949978,106.8230496
45,Jakarta Aquarium dan Safari,Jakarta Aquarium dan Safari is a good place to visit,Taman Hiburan,Jakarta,185000,4.6,,"{'lat': -6.1752647, 'lng': 106.7904684}",-6.1752647,106.7904684
46,Pulau Semak Daun,Pulau Semak Daun is a good place to visit,Bahari,Jakarta,40000,4,,"{'lat': -5.729671599999999, 'lng': 106.5714158}",-5.7296716,106.5714158
47,Taman Situ Lembang,Taman Situ Lembang is a good place to visit,Taman Hiburan,Jakarta,0,4.5,,"{'lat': -6.1978861, 'lng': 106.8346708}",-6.1978861,106.8346708
48,Taman Ismail Marzuki,Taman Ismail Marzuki is a good place to visit,Budaya,Jakarta,5000,4.6,,"{'lat': -6.1891586, 'lng': 106.8397738}",-6.1891586,106.8397738
49,Galeri Indonesia Kaya,Galeri Indonesia Kaya is a good place to visit,Budaya,Jakarta,0,4.8,90,"{'lat': -6.1948499, 'lng': 106.8200607}",-6.1948499,106.8200607
50,Museum Joang 45,Museum Joang 45 is a good place to visit,Budaya,Jakarta,2000,4,,"{'lat': -6.186183799999998, 'lng': 106.8364761}",-6.1861838,106.8364761
51,Jakarta Planetarium,Jakarta Planetarium is a good place to visit,Taman Hiburan,Jakarta,12000,4.1,120,"{'lat': -6.190081899999999, 'lng': 106.8388532}",-6.1900819,106.8388532
52,Kampung Cina,Kampung Cina is a good place to visit,Budaya,Jakarta,15000,4.5,,"{'lat': -6.3651357, 'lng': 106.7617984}",-6.3651357,106.7617984
53,Rumah Sipitung,Rumah Sipitung is a good place to visit,Budaya,Jakarta,5000,4.5,90,"{'lat': -6.10016, 'lng': 106.96057}",-6.10016,106.96057
54,Taman Agrowisata Cilangkap,Taman Agrowisata Cilangkap is a good place to visit,Taman Hiburan,Jakarta,0,4.2,,"{'lat': -6.340151399999999, 'lng': 106.9012561}",-6.3401514,106.9012561
55,Klenteng Jin De Yuan,Klenteng Jin De Yuan is a good place to visit,Tempat Ibadah,Jakarta,0,4.5,,"{'lat': -6.144473700000001, 'lng': 106.8126018}",-6.1444737,106.8126018
56,Pantai Ancol,Pantai Ancol is a good place to visit,Bahari,Jakarta,25000,4.4,,"{'lat': -6.1194215, 'lng': 106.8502435}",-6.1194215,106.8502435
57,Taman Lapangan Banteng,Taman Lapangan Banteng is a good place to visit,Taman Hiburan,Jakarta,0,4.7,,"{'lat': -6.170554999999999, 'lng': 106.8350378}",-6.170555,106.8350378
58,Taman Ayodya,Taman Ayodya is a good place to visit,Taman Hiburan,Jakarta,0,4.4,45,"{'lat': -6.245229400000001, 'lng': 106.7946655}",-6.2452294,106.7946655
59,Museum Sumpah Pemuda,Museum Sumpah Pemuda is a good place to visit,Budaya,Jakarta,2000,4.7,,"{'lat': -6.183838799999999, 'lng': 106.8430507}",-6.1838388,106.8430507
60,Museum Tekstil,Museum Tekstil is a good place to visit,Budaya,Jakarta,5000,4.5,45,"{'lat': -6.187963400000002, 'lng': 106.8096081}",-6.1879634,106.8096081
61,Tugu Proklamasi,Tugu Proklamasi is a good place to visit,Budaya,Jakarta,0,4.6,,"{'lat': -6.2030468, 'lng': 106.8466623}",-6.2030468,106.8466623
62,Taman Legenda Keong Emas,Taman Legenda Keong Emas is a good place to visit,Taman Hiburan,Jakarta,30000,4.5,,"{'lat': -6.303904200000001, 'lng': 106.8936219}",-6.3039042,106.8936219
63,Museum Kebangkitan Nasional,Museum Kebangkitan Nasional is a good place to visit,Budaya,Jakarta,2000,4.7,45,"{'lat': -6.178352, 'lng': 106.838094}",-6.178352,106.838094
64,Museum Sasmita Loka Ahmad Yani,Museum Sasmita Loka Ahmad Yani is a good place to visit,Budaya,Jakarta,2000,4.7,45,"{'lat': -6.204630300000001, 'lng': 106.8365324}",-6.2046303,106.8365324
65,Museum Basoeki Abdullah,Museum Basoeki Abdullah is a good place to visit,Budaya,Jakarta,1000,4.6,90,"{'lat': -6.289788499999998, 'lng': 106.7932681}",-6.2897885,106.7932681
66,Museum Layang-layang,Museum Layang-layang is a good place to visit,Budaya,Jakarta,10000,4.5,90,"{'lat': -6.3080282, 'lng': 106.790548}",-6.3080282,106.790548
67,Margasatwa Muara Angke,Margasatwa Muara Angke is a good place to visit,Cagar Alam,Jakarta,25000,4.2,15,"{'lat': -6.1160075, 'lng': 106.7692016}",-6.1160075,106.7692016
68,Pasar Petak Sembilan,Pasar Petak Sembilan is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4.4,45,"{'lat': -6.143672200000001, 'lng': 106.8129398}",-6.1436722,106.8129398
69,Freedom Library,Freedom Library is a good place to visit,Budaya,Jakarta,0,5,,"{'lat': -6.202248200000001, 'lng': 106.8451968}",-6.2022482,106.8451968
70,Perpustakaan Nasional,Perpustakaan Nasional is a good place to visit,Budaya,Jakarta,0,4.7,240,"{'lat': -6.181291799999999, 'lng': 106.8268717}",-6.1812918,106.8268717
71,Cibubur Garden Diary (Cibugary),Cibubur Garden Diary (Cibugary) is a good place to visit,Cagar Alam,Jakarta,50000,4.5,,"{'lat': -6.379996900000001, 'lng': 106.8949793}",-6.3799969,106.8949793
72,Waterboom PIK (Pantai Indah Kapuk),Waterboom PIK (Pantai Indah Kapuk) is a good place to visit,Taman Hiburan,Jakarta,300000,4.4,,"{'lat': -6.113655899999999, 'lng': 106.7478596}",-6.1136559,106.7478596
73,Museum Perangko,Museum Perangko is a good place to visit,Budaya,Jakarta,5000,4.4,,"{'lat': -6.304184100000001, 'lng': 106.9017725}",-6.3041841,106.9017725
74,Museum Tengah Kebun,Museum Tengah Kebun is a good place to visit,Budaya,Jakarta,0,4.6,120,"{'lat': -6.267513, 'lng': 106.824107}",-6.267513,106.824107
75,SnowBay Waterpark,SnowBay Waterpark is a good place to visit,Taman Hiburan,Jakarta,180000,4.3,,"{'lat': -6.299271800000001, 'lng': 106.89151}",-6.2992718,106.89151
76,Taman Cattleya,Taman Cattleya is a good place to visit,Taman Hiburan,Jakarta,20000,4.5,,"{'lat': -6.181084299999999, 'lng': 106.7954476}",-6.1810843,106.7954476
77,Taman Hutan Tebet,Taman Hutan Tebet is a good place to visit,Taman Hiburan,Jakarta,0,4.4,60,"{'lat': -6.237140900000001, 'lng': 106.8526505}",-6.2371409,106.8526505
78,Hutan Kota Srengseng,Hutan Kota Srengseng is a good place to visit,Taman Hiburan,Jakarta,1000,4.3,,"{'lat': -6.210694499999999, 'lng': 106.7643954}",-6.2106945,106.7643954
79,Taman Spathodea,Taman Spathodea is a good place to visit,Taman Hiburan,Jakarta,0,4.6,30,"{'lat': -6.3226133, 'lng': 106.8241871}",-6.3226133,106.8241871
80,Plaza Indonesia,Plaza Indonesia is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4.7,120,"{'lat': -6.193925900000002, 'lng': 106.8222158}",-6.1939259,106.8222158
81,Mall Thamrin City,Mall Thamrin City is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4.4,60,"{'lat': -6.1946096, 'lng': 106.817905}",-6.1946096,106.817905
82,Museum Satria Mandala,Museum Satria Mandala is a good place to visit,Budaya,Jakarta,5000,4.5,150,"{'lat': -6.231698499999999, 'lng': 106.8185425}",-6.2316985,106.8185425
83,Alive Museum Ancol,Alive Museum Ancol is a good place to visit,Taman Hiburan,Jakarta,200000,4.3,,"{'lat': -6.117534399999999, 'lng': 106.857313}",-6.1175344,106.857313
84,Kawasan Kuliner BSM,Kawasan Kuliner BSM is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4.6,,"{'lat': -6.184258799999999, 'lng': 106.824033}",-6.1842588,106.824033
85,Taman Pintar Yogyakarta,Taman Pintar Yogyakarta is a good place to visit,Taman Hiburan,Yogyakarta,6000,4.5,120,"{'lat': -7.800671500000001, 'lng': 110.3676551}",-7.8006715,110.3676551
86,Keraton Yogyakarta,Keraton Yogyakarta is a good place to visit,Budaya,Yogyakarta,15000,4.6,,"{'lat': -7.8052845, 'lng': 110.3642031}",-7.8052845,110.3642031
87,Sindu Kusuma Edupark (SKE),Sindu Kusuma Edupark (SKE) is a good place to visit,Taman Hiburan,Yogyakarta,20000,4.2,120,"{'lat': -7.767297300000001, 'lng': 110.3542486}",-7.7672973,110.3542486
88,Museum Benteng Vredeburg Yogyakarta,Museum Benteng Vredeburg Yogyakarta is a good place to visit,Budaya,Yogyakarta,3000,4.6,120,"{'lat': -7.800201599999999, 'lng': 110.3663044}",-7.8002016,110.3663044
89,De Mata Museum Jogja,De Mata Museum Jogja is a good place to visit,Budaya,Yogyakarta,50000,4.4,,"{'lat': -7.816315599999999, 'lng': 110.3871442}",-7.8163156,110.3871442
90,Kampung Wisata Taman Sari,Kampung Wisata Taman Sari is a good place to visit,Taman Hiburan,Yogyakarta,5000,4.6,,"{'lat': -7.8100673, 'lng': 110.3594581}",-7.8100673,110.3594581
91,Situs Warungboto,Situs Warungboto is a good place to visit,Taman Hiburan,Yogyakarta,0,4.4,60,"{'lat': -7.8102685, 'lng': 110.3931513}",-7.8102685,110.3931513
92,Nol Kilometer Jl.Malioboro,Nol Kilometer Jl.Malioboro is a good place to visit,Taman Hiburan,Yogyakarta,0,4.7,45,"{'lat': -7.8013803, 'lng': 110.3647652}",-7.8013803,110.3647652
93,Gembira Loka Zoo,Gembira Loka Zoo is a good place to visit,Cagar Alam,Yogyakarta,60000,4.5,,"{'lat': -7.806234399999999, 'lng': 110.3967977}",-7.8062344,110.3967977
94,Sumur Gumuling,Sumur Gumuling is a good place to visit,Taman Hiburan,Yogyakarta,7000,4.5,,"{'lat': -7.808791100000001, 'lng': 110.3591825}",-7.8087911,110.3591825
95,Desa Wisata Sungai Code Jogja Kota,Desa Wisata Sungai Code Jogja Kota is a good place to visit,Taman Hiburan,Yogyakarta,0,5,,"{'lat': -7.822908900000001, 'lng': 110.3756894}",-7.8229089,110.3756894
96,Alun Alun Selatan Yogyakarta,Alun Alun Selatan Yogyakarta is a good place to visit,Taman Hiburan,Yogyakarta,0,4.6,60,"{'lat': -7.8116719, 'lng': 110.363238}",-7.8116719,110.363238
97,Monumen Yogya Kembali,Monumen Yogya Kembali is a good place to visit,Budaya,Yogyakarta,15000,4.5,30,"{'lat': -7.7495904, 'lng': 110.3696068}",-7.7495904,110.3696068
98,Taman Pelangi Yogyakarta,Taman Pelangi Yogyakarta is a good place to visit,Taman Hiburan,Yogyakarta,15000,4.3,60,"{'lat': -7.7505259, 'lng': 110.3687049}",-7.7505259,110.3687049
99,Kampung Wisata Kadipaten,Kampung Wisata Kadipaten is a good place to visit,Budaya,Yogyakarta,0,4.4,,"{'lat': -7.806093000000001, 'lng': 110.35831}",-7.806093,110.35831
100,Taman Budaya Yogyakarta,Taman Budaya Yogyakarta is a good place to visit,Budaya,Yogyakarta,0,4.5,210,"{'lat': -7.8001041, 'lng': 110.3676579}",-7.8001041,110.3676579
101,Kampung Wisata Sosro Menduran,Kampung Wisata Sosro Menduran is a good place to visit,Budaya,Yogyakarta,0,4,,"{'lat': -7.792189999999999, 'lng': 110.362151}",-7.79219,110.362151
102,Monumen Batik Yogyakarta,Monumen Batik Yogyakarta is a good place to visit,Budaya,Yogyakarta,40000,4.5,15,"{'lat': -7.8011159, 'lng': 110.3646172}",-7.8011159,110.3646172
103,Tugu Pal Putih Jogja,Tugu Pal Putih Jogja is a good place to visit,Taman Hiburan,Yogyakarta,0,4.7,15,"{'lat': -7.782943699999998, 'lng': 110.3670548}",-7.7829437,110.3670548
104,Tebing Breksi,Tebing Breksi is a good place to visit,Budaya,Yogyakarta,20000,4.4,,"{'lat': -7.781571400000001, 'lng': 110.5045827}",-7.7815714,110.5045827
105,Candi Donotirto,Candi Donotirto is a good place to visit,Budaya,Yogyakarta,0,4.4,25,"{'lat': -7.795561299999998, 'lng': 110.3612095}",-7.7955613,110.3612095
106,Kawasan Malioboro,Kawasan Malioboro is a good place to visit,Taman Hiburan,Yogyakarta,0,4.8,,"{'lat': -7.793167, 'lng': 110.3655238}",-7.793167,110.3655238
107,Bangsal Pagelaran,Bangsal Pagelaran is a good place to visit,Budaya,Yogyakarta,5000,4.6,,"{'lat': -7.805284299999999, 'lng': 110.3642137}",-7.8052843,110.3642137
108,Embung Tambakboyo,Embung Tambakboyo is a good place to visit,Taman Hiburan,Yogyakarta,0,4.4,,"{'lat': -7.756227000000001, 'lng': 110.4150131}",-7.756227,110.4150131
109,Hutan Pinus Pengger,Hutan Pinus Pengger is a good place to visit,Taman Hiburan,Yogyakarta,3000,4.5,,"{'lat': -7.870483200000001, 'lng': 110.4599108}",-7.8704832,110.4599108
